date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:43	676/676	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2019%20Nov%202020%2013:04:40%20GMT	http://arvixe.webdgallery.com/robots.txt		(from )
14:04:44	63922/63922	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202019%2021:46:24%20GMT	http://arvixe.webdgallery.com/demo/	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/index.html	(from )
14:04:44	3959/3959	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jan%202017%2014:02:18%20GMT	http://arvixe.webdgallery.com/demo/img/apple-touch-icon.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/apple-touch-icon.png	(from )
14:04:44	1551/1551	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Apr%202017%2010:52:58%20GMT	http://arvixe.webdgallery.com/demo/img/fevicon.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/fevicon.png	(from )
14:04:47	121200/121200	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/css/bootstrap.min.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/css/bootstrap.min.css	(from )
14:04:48	6437/6437	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202016%2010:38:36%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from )
14:04:48	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/css/font-awesome.min.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/css/font-awesome.min.css	(from )
14:04:48	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/magnific-popup/magnific-popup.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/magnific-popup/magnific-popup.css	(from )
14:04:49	4614/4614	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202014%2019:51:42%20GMT	http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.carousel.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.carousel.css	(from )
14:04:49	8656/8656	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Jan%202017%2006:43:40%20GMT	http://arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/css/jquery.mb.YTPlayer.min.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/css/jquery.mb.YTPlayer.min.css	(from )
14:04:50	52789/52789	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2017:33:50%20GMT	http://arvixe.webdgallery.com/demo/css/animate.min.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/css/animate.min.css	(from )
14:04:51	10671/10671	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202017%2012:46:16%20GMT	http://arvixe.webdgallery.com/demo/css/color-switcher.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/css/color-switcher.css	(from )
14:04:52	89813/89813	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2018:24:20%20GMT	http://arvixe.webdgallery.com/demo/css/main.css	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/css/main.css	(from )
14:04:54	3392/3392	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jan%202017%2015:21:18%20GMT	http://arvixe.webdgallery.com/demo/img/logo.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/logo.png	(from )
14:05:05	64011/64011	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2015:09:40%20GMT	http://arvixe.webdgallery.com/demo/img/about-site.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/about-site.jpg	(from )
14:05:17	68349/68349	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:54%20GMT	http://arvixe.webdgallery.com/demo/img/project-1.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-1.jpg	(from )
14:05:18	174/174	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2022:07:00%20GMT	http://arvixe.webdgallery.com/demo/img/profile_icon.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/profile_icon.png	(from )
14:05:27	50948/50948	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:50%20GMT	http://arvixe.webdgallery.com/demo/img/project-2.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-2.jpg	(from )
14:05:30	230964/230964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2019:37:54%20GMT	http://arvixe.webdgallery.com/demo/img/counterup_bg.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/counterup_bg.jpg	(from )
14:05:39	67978/67978	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:48%20GMT	http://arvixe.webdgallery.com/demo/img/project-3.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-3.jpg	(from )
14:05:41	64725/64725	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:44%20GMT	http://arvixe.webdgallery.com/demo/img/project-4.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-4.jpg	(from )
14:05:48	53552/53552	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:42%20GMT	http://arvixe.webdgallery.com/demo/img/project-5.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-5.jpg	(from )
14:05:55	79990/79990	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:40%20GMT	http://arvixe.webdgallery.com/demo/img/project-6.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-6.jpg	(from )
14:05:57	53110/53110	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jan%202017%2021:24:36%20GMT	http://arvixe.webdgallery.com/demo/img/project-7.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/project-7.jpg	(from )
